id,start_time,stop_time,cue_start_time,pole_in_time,pole_out_time,type,response,stim_present,is_good
139,1206.37,,7.26247,4.76182,5.76198,lick left,correct,0,1
140,1212.77,,7.27047,4.76998,5.77014,lick right,correct,0,1
141,1219.17,,7.63463,5.13398,6.13414,lick right,correct,0,1
142,1225.57,,7.25597,4.75531,5.75548,lick left,correct,0,1
143,1231.97,,7.2823,4.78165,5.78181,lick right,correct,0,1
144,1238.37,,7.2698,4.76915,5.76931,lick left,correct,0,1
145,1244.77,,6.40797,3.90732,4.90748,lick left,incorrect,0,1
146,1251.17,,6.55531,4.05482,5.05498,lick right,correct,0,1
147,1257.57,,7.15597,4.65548,5.65564,lick left,correct,0,1
148,1263.97,,7.26797,4.76748,5.76765,lick left,correct,0,1
149,1270.37,,12.3185,4.87148,10.537,lick left,early lick,0,1
150,1276.77,,6.59514,4.00098,5.00115,lick right,early lick,0,1
151,1283.17,,6.77131,4.02132,5.27081,lick right,early lick,0,1
152,1289.57,,7.3248,4.82431,5.82448,lick left,incorrect,0,1
153,1295.97,,7.62247,5.12181,6.12198,lick left,correct,0,1
154,1302.37,,7.48897,4.98831,5.98848,lick left,correct,0,1
155,1308.77,,6.43681,3.93632,4.93648,lick right,correct,0,1
156,1315.17,,7.0773,4.57665,5.57681,lick left,correct,0,1
157,1321.57,,6.57897,4.07848,5.07865,lick left,correct,0,1
158,1327.97,,7.3038,4.80331,5.80348,lick left,correct,0,1
159,1334.37,,6.68014,4.17948,5.17965,lick right,correct,0,1
160,1340.77,,8.10263,5.60214,6.6023,lick right,correct,0,1
161,1347.17,,7.3663,4.86565,5.86581,lick left,correct,0,1
162,1353.57,,6.88614,4.38548,5.38565,lick right,correct,0,1
163,1359.97,,7.53847,5.03798,6.03814,lick left,correct,0,1
164,1366.37,,7.19147,4.69081,5.69098,lick left,incorrect,0,1
165,1372.77,,6.37297,3.87232,4.87248,lick right,incorrect,0,1
166,1379.17,,6.43414,3.93365,4.93381,lick left,correct,0,1
167,1385.57,,7.2728,4.77215,5.77231,lick right,correct,0,1
168,1391.97,,7.23081,4.73032,5.73048,lick left,incorrect,0,1
169,1398.37,,7.01096,4.51031,5.51047,lick left,correct,0,1
170,1404.77,,6.42414,3.92365,4.92381,lick right,correct,0,1
171,1411.17,,7.34847,4.84781,5.84798,lick left,correct,0,1
172,1417.57,,6.37464,3.87415,4.87431,lick right,correct,0,1
173,1423.97,,7.26497,4.76431,5.76448,lick left,correct,0,1
174,1430.37,,7.36847,4.86781,5.86798,lick left,correct,0,1
175,1436.77,,6.44614,3.94549,4.94565,lick right,correct,0,1
176,1443.17,,6.88815,4.38782,5.38798,lick right,incorrect,0,1
177,1449.57,,7.04363,4.54298,5.54315,lick right,incorrect,0,1
178,1455.97,,6.38481,3.88415,4.88431,lick left,correct,0,1
179,1462.37,,7.24497,4.74448,5.74464,lick left,correct,0,1
180,1468.77,,6.49631,3.99565,4.99581,lick right,correct,0,1
181,1475.17,,7.33647,4.83581,5.83599,lick right,correct,0,1
182,1481.57,,8.2493,5.74865,6.74881,lick right,correct,0,1
183,1487.97,,7.26313,4.76248,5.76264,lick left,correct,0,1
184,1494.37,,6.49781,3.99732,4.99748,lick right,correct,0,1
185,1500.77,,8.3018,5.80131,6.80147,lick right,correct,0,1
186,1507.17,,7.47447,4.97381,5.97398,lick right,correct,0,1
187,1513.57,,7.2838,4.78332,5.78348,lick left,correct,0,1
188,1519.97,,6.4393,3.93865,4.93881,lick right,correct,0,1
189,1526.37,,7.90447,5.40382,6.40398,lick right,correct,0,1
190,1532.77,,7.4303,4.92965,5.92981,lick left,correct,0,1
191,1539.17,,6.73046,4.22998,5.23014,lick right,correct,0,1
192,1545.57,,8.0323,5.53164,6.53181,lick right,correct,0,1
193,1551.97,,7.33664,4.83615,5.83631,lick left,incorrect,0,1
194,1558.37,,6.83481,4.33432,5.33448,lick right,correct,0,1
195,1564.77,,7.26547,4.76482,5.76498,lick left,correct,0,1
196,1571.17,,7.27764,4.77715,5.77732,lick left,correct,0,1
197,1577.57,,6.61281,4.11232,5.11248,lick left,incorrect,0,1
198,1583.97,,6.31814,3.81749,4.81765,lick right,incorrect,0,1
199,1590.37,,6.6983,4.19765,5.19781,lick left,incorrect,0,1
200,1596.77,,6.6988,4.19816,5.19831,lick right,correct,0,1
201,1603.17,,7.3258,4.82531,5.82548,lick left,correct,0,1
202,1609.57,,6.4723,3.97165,4.97181,lick right,correct,0,1
203,1615.97,,7.28314,4.78265,5.78281,lick right,incorrect,0,1
204,1622.37,,6.51031,4.00982,5.00998,lick left,correct,0,1
205,1628.77,,7.2933,4.79265,5.79281,lick left,correct,0,1
206,1635.17,,7.37597,4.87548,5.87564,lick right,incorrect,0,1
207,1641.57,,6.56064,4.05998,5.06015,lick left,incorrect,0,1
208,1647.97,,6.44247,3.94198,4.94215,lick right,correct,0,1
209,1654.37,,7.26614,4.76565,5.76581,lick left,correct,0,1
210,1660.77,,7.41831,4.91765,5.91781,lick left,incorrect,0,1
211,1667.17,,6.55364,4.05315,5.05331,lick right,incorrect,0,1
212,1673.57,,6.34597,3.84548,4.84565,lick left,incorrect,0,1
213,1679.97,,6.31014,3.80965,4.80981,lick right,correct,0,1
214,1686.37,,7.26464,4.76415,5.76431,lick left,incorrect,0,1
215,1692.77,,6.77714,4.27648,5.27665,lick left,correct,0,1
216,1699.17,,6.39081,3.89032,4.89048,lick right,correct,0,1
217,1705.57,,7.44997,4.94948,5.94964,lick left,incorrect,0,1
218,1711.97,,6.63281,4.13215,5.13231,lick left,correct,0,1
219,1718.37,,8.31463,5.81398,6.81414,lick left,correct,0,1
220,1724.77,,6.4873,3.98665,4.98681,lick right,correct,0,1
221,1731.17,,7.52898,5.02831,6.02848,lick right,incorrect,0,1
222,1737.57,,7.28497,4.78431,5.78448,lick right,correct,0,1
223,1743.97,,7.30864,4.80798,5.80814,lick left,correct,0,1
224,1750.37,,6.48264,3.98198,4.98215,lick left,correct,0,1
225,1756.77,,7.22631,4.72581,5.72598,lick left,correct,0,1
226,1763.17,,7.31363,4.81298,5.81314,lick right,incorrect,0,1
227,1769.57,,7.37464,4.87398,5.87414,lick right,correct,0,1
228,1775.97,,7.14514,4.64465,5.64481,lick right,correct,0,1
229,1782.37,,7.2153,4.71482,5.71498,lick left,correct,0,1
230,1788.77,,6.35631,3.85565,4.85581,lick right,correct,0,1
231,1795.17,,7.22214,4.72148,5.72164,lick left,correct,0,1
232,1801.56,,6.44497,3.94448,4.94465,lick right,correct,0,1
233,1807.97,,7.3058,4.80531,5.80548,lick left,incorrect,0,1
234,1814.36,,6.56831,4.06766,5.06781,lick left,incorrect,0,1
235,1820.77,,6.66714,4.16665,5.16681,lick right,incorrect,0,1
236,1827.17,,6.7423,4.24165,5.24181,lick right,correct,0,1
237,1833.57,,6.51364,4.01315,5.01331,lick left,correct,0,1
238,1839.96,,7.38763,4.88698,5.88714,lick right,correct,0,1
239,1846.36,,7.96931,5.46865,6.46881,lick right,correct,0,1
240,1852.77,,7.20614,4.70565,5.70581,lick right,correct,0,1
241,1859.17,,7.28764,4.78715,5.78731,lick left,incorrect,0,1
242,1865.56,,6.62647,4.12582,5.12598,lick right,incorrect,0,1
243,1871.96,,6.60247,4.10182,5.10198,lick left,correct,0,1
244,1878.36,,7.41797,4.91732,5.91748,lick left,correct,0,1
245,1884.76,,6.34114,3.84065,4.84082,lick right,correct,0,1
246,1891.16,,7.25564,4.75498,5.75514,lick right,correct,0,1
247,1897.56,,7.4023,4.90181,5.90198,lick right,correct,0,1
248,1903.97,,6.64197,4.14148,5.14165,lick left,incorrect,0,1
249,1910.36,,6.67181,4.17132,5.17148,lick left,correct,0,1
250,1916.76,,6.40014,3.89949,4.89965,lick left,correct,0,1
251,1923.16,,6.35914,3.85865,4.85881,lick right,correct,0,1
252,1929.57,,6.7173,4.21665,5.21681,lick left,correct,0,1
253,1935.96,,7.1693,4.66865,5.66881,lick left,incorrect,0,1
254,1942.36,,6.22948,3.72899,4.72915,lick left,correct,0,1
255,1948.76,,7.55964,5.05898,6.05914,lick right,correct,0,1
256,1955.16,,7.23231,4.73182,5.73198,lick left,correct,0,1
257,1961.56,,6.59331,4.09265,5.09281,lick left,correct,0,1
258,1967.96,,6.32614,3.82548,4.82565,lick right,incorrect,0,1
259,1974.36,,6.47997,3.97948,4.97965,lick left,incorrect,0,1
260,1980.76,,6.76514,4.26448,5.26465,lick right,correct,0,1
261,1987.16,,7.25264,4.75198,5.75215,lick left,correct,0,1
262,1993.56,,6.52364,4.02298,5.02315,lick left,correct,0,1
263,1999.96,,6.41263,3.91214,4.9123,lick right,correct,0,1
264,2006.36,,6.29864,3.79815,4.79831,lick left,incorrect,0,1
265,2012.76,,6.63047,4.12982,5.12998,lick right,correct,0,1
266,2019.16,,6.71431,4.21382,5.21398,lick left,no response,0,1
267,2025.56,,6.63081,4.13032,5.13048,lick right,correct,0,1
268,2031.96,,7.25914,4.75865,5.75881,lick right,correct,0,0
269,2038.36,,7.29414,4.79365,5.79381,lick right,correct,0,0
270,2044.76,,7.32614,4.82565,5.82581,lick left,correct,0,0
271,2051.16,,6.79397,4.29331,5.29349,lick right,correct,0,0
272,2057.56,,6.63964,4.13898,5.13915,lick left,correct,0,0
273,2063.97,,6.69997,4.19932,5.19948,lick left,incorrect,0,0
274,2070.36,,8.29463,4.95498,5.95514,lick left,early lick,0,0
275,2076.76,,6.73264,4.23198,5.23215,lick right,correct,0,0
